标题	详情
好好	好好
好累	凭什么排位就匹配一些坑货 专坑我？ 就他妈你们不得了 一直输 每次就是输多赢少 那这样我也没必要充钱了 连充钱的兴趣都没得了 你们天美真可以 咔叽！！！
垃圾游戏	这就是个垃圾游戏 不会简化吗 手机用久了 一直闪退 排位扣星 还他妈 扣信誉积分 真是无语
垃圾 以后在也不充钱	垃圾垃圾垃圾垃圾
什么玩意，更新一下闪退	垃圾，每次更新不知道那个版本老是闪退，几乎不能打的，明摆着让举报！要不你直接不能进算了，进去打两分钟就闪退，直进不去还好，进去了就闪退不坑人啊！
卸载	体验极差
垃圾游戏	游戏人物不平衡，还坑钱。垃圾垃圾游戏太轻了
各种游戏上线满Ｖ，好礼不断！270443593	经典多种情怀游戏，上线就拿满Ｖ！钻石元宝送不停！我们玩的不仅仅是游戏！是当年的情怀！加口270443593，微信abtx4869
闪退，严重闪退	手机内存充足，网络好，照样闪退，闪退让扣分，没法玩！！！！！！！！！！！！！！！！！！！！！！
不好玩	这游戏是真的不行了，辣鸡
说实话	这个游戏说实话，挺好玩的，但算法和排位匹配，就有问题，一直连败，白版可以排位，真心渣
是不是不充钱就不配赢？	我觉得这游戏的匹配机制真的有问题，九连跪？？？
腾讯本性难移	圈钱为目的了，已卸载
垃圾游戏	垃圾机制，充钱的举报能成功，不充钱十次有九次都成功，充钱的都是你爹，劝大家退游吧
骗人	请把公平两字去掉 不解释
什么时候出来王昭君的皮肤返场	作为刚玩几个月的玩家，王昭君和甄姬的皮肤不敢恭维，选择少之又少，求王者大大能出个皮肤返场，谢谢了
诸葛亮的典藏呢？装死天天出李白的	垃圾天美
浪费时间浪费精力	垃圾游戏，毫无游戏体验
坑货太多  挂机的 故意送人头的	排位连跪十几局 逼的我不得不退出王者荣耀 太恶心了
垃圾游戏，匹配，举报系统都是垃圾	垃圾腾讯，匹配智障队友，辅助1.2.3举报成功，人工客服就是个垃圾，已退游
死你全家的天美官方，狗杂种养的，我日你妈，你们都是一帮狗，为了钱把你妈都日了	没更新的时候还能玩，一更新根本玩不了，闪退，进不去，登上一会儿自己退出，五V五匹配排位害了我两次，哎，这游戏没法玩了
队友列害	能把你坑飞，所有下载的人，祝你们幸福
辣鸡游戏	什么辣鸡匹配系统
论挂机秒选怎么办	第一次差评一个软件，老玩家回归第一天秒选挂机，打完一个迪某给我20分积分，呵呵呵，辣鸡东西
匹配机制太恶心，游戏策划脑子进水有坑，全世界都知道王者的匹配机制有问题，就是不改。	匹配机制太恶心，游戏策划脑子进水有坑，全世界都知道王者的匹配机制有问题，就是不改。
脑残	一个人单排，看看那些坑B脑残和你一队你就知道什么叫坑B游戏！
不充钱死输的游戏	不充钱一直输的游戏
王者荣耀是一款有内涵有深度的游戏	在这两年里 我们努力练习各种英雄 争取在峡谷中获得优秀的成绩 不料在王者荣耀这款游戏中 我们见识到了人类的高低智商有别 也领略了天美公司全体员工家人死绝的场景 真好
这游戏不能玩辅助	队友送成狗，做为辅助不肉没输出，自己不送守塔，居然能被举报成功？一次扣6分，玩辅助的，你有几个6分扣？还不是一次两次，这游戏还能玩？
垃圾游戏	玩打野队友一直刷你野
烂游戏破游戏。	乱扣信用分。差评及差评不玩了。
辣鸡游戏	辣鸡游戏 提高游戏寿命就这样坑人？ 还你麻痹的数据作假 有意思吗
sb天美	什么垃圾游戏，王者34十星的局，一连胜就连跪，排到的队友不是演员就挂机，什么垃圾机制。连胜上去在连胜下来故意搞人心态？
Lee’s	用一段时间5-6g占内存
垃圾游戏	这游戏没办法玩了，高段位排位匹配低段位的队友，几个赛季王者匹配没上过王者的队友，1-9的队友投诉不成功，我1-6就被扣分，我就想知道有没有地方管？
坑钱游戏游戏环境极差	对萌新玩家极其不友好，你战绩不好就会被举报扣除信誉积分到最后只能打人机，游戏优化也很差460延迟你想摔手机，还有匹配机制，你无法想象这样的游戏还有这么多人玩，这游戏迟早要凉
垃圾游戏，只会赚钱，一天天出皮肤，排位练英雄，机制太垃圾，	辣鸡，已弃游，别在出什么英雄什么英雄了，排位机制我算是佩服了，
再见王者荣耀 你真优秀	王者荣耀 我也不知道你们惩罚机制有什么用 也不知道你们的匹配机制是怎么做的 更不懂为什么三个主职业不可以从开比赛 你们觉得可以赢是么 我菜 我不懂  谢谢这些年给我的快乐 早点关服务器吧 除了圈钱 还会点什么  呵
匹配模式垃圾	已删除，再见
垃圾	垃圾游戏 小学生居多 坑
辣鸡玩意	天天给我匹配的是什么队友啊，玩腻??呢
牛逼腾讯	我是海外玩家 玩了这游戏有4～5年了 现在告诉我需要实名认证 我搞了很多天这个验证还是登陆不到这个游戏 钱也冲了 现在说不能登录就不能登录？
为什么	为什么要更新手机版本才给我下载？分明是不给我玩！
辣鸡到极致的游戏	这游戏举报有锤子用，演完你，照样玩，主播有个举报群，只要有演员，就可以发给天美内部人员，直接封号，我们这些玩家呢，你们能再辣鸡点？
匹配机制最垃圾，没有之一	越更新越垃圾，一个晚上都匹配到什么魑魅魍魉，挂机的挂件，送人头的送人头，玩你开发者的祖先呢，用点脑子好好优化一下，自己脑子抽抽不会去感受一下吗，要不是lol一盘太久，真的弃坑。 现在求lol出手游，秒删王者荣耀！！
辣鸡王者	说句良心话 凭什么充钱就可以无敌
体验感觉	打个星耀局排位，一局闪退四次，ios苹果6p，一个垃圾游戏！体验感极差，白瞎了眼还冲了几千块进去！
垃圾游戏	垃圾游戏，匹配机制真恶心，队友坑到你怀疑人生举报还不管用
超级漏洞	一直以来没有兵线，一个英雄可以带塔。设计师，脑子有问题么？
游戏	这游戏老是有一些隐藏机制，匹配的都是啥队友，服了，队友抢位置，好，我玩辅助，玩辅助我保射手，死掉了就扣我信誉积分，有意思？我是挂机了还是故意送了？我不想赢吗？
游戏需改进	匹配常常遇到同一路线的，还常常遇到捣乱的，故意乱选英雄，每路英雄不应该有重的，段位继承也掉的幅度有点太大，这款游戏玩起来太累，起不到放松开心的效果
这他妈弱智的匹配系统是人玩的？	半夜想玩玩，匹配的队友全是四十几胜率的？我tm胜率六十也算高的?匹配的一群弱智
微信是好友，但是在游戏里面却找不到好友	微信区的，我和朋友微信互相都是好友，没有删除拉黑…也不是刚加的新好友，互为好友很久了，突然有天登录游戏发现微信好友那栏里找不到朋友了…但是游戏好友还是显示的…然后朋友那里都是显示正常的，这是什么情况？？？
误人子弟	"国家就该封禁这种游戏，误国误民，就跟病毒是的，戒都戒不了，影响孩子学习，影响大人工作，
把脾气好的人都折磨成脾气暴躁易怒的人，这种不良游戏就该封杀，中国孩子大人最大的毒瘤！"
一个辣鸡游戏	辣鸡游戏，天美老子是你爹，心悦8了解下
恶心人	恶心人的垃圾游戏，确定要玩？
垃圾游戏	垃圾赢的少输的多。 坑多。
关于iphone xr适配问题	为什么玩吃鸡极限画质很流畅玩王者就掉帧
6sp卡	"12.3王者荣耀 关掉角色描边团战掉帧！
但是但是但是！崩坏3深渊 特效全开都不卡！
我艸"
这匹配机制我就口可口可	游戏还可以  这匹配机制不多说了  都懂  垃圾天美
垃圾	垃圾游戏晋级赛队友坑就算了每次晋级赛就460
菜的抠脚	什么排位机制？？到王者了还能遇见0-*的队员？遇到不死抢英雄就是骂人要么挂机送人头 在不然就是演员一晚上9连跪 没遇到正常的队员 服
111	视野好小怎么玩。     不知道别人是不是也一样
挂机	垃圾游戏一堆挂机的人已删除不想玩了88
更新	为啥老是更新烦死了，平均两三天更新一次
垃圾游戏	此游戏，害处及大，危害我与扎扎之间的感情，破坏我们之间的爱情，损坏我们之间的友情，此游戏不倒，天理难容
游戏好奇怪啊！	我下载下来，又得重新下一遍，真的好令人生气啊！
垃圾游戏	这就是一个垃圾游戏，匹配机制根本就是有问题，越开发就越垃圾
烂比游戏	烂比游戏
万年的败方mvp	"游戏的匹配机制令人无法接受，连胜之后必定连败，游戏的初衷应该是娱乐放松，但玩到现在，人却只有颓废和暴躁，无奈卸载了。
最后对于我高中三年而言，最后悔的事是沉迷于农药，而错过了太多太多。
奉劝各位，勿要沉迷游戏啊。"
国产lj游戏	这就是一个垃圾游戏，这游戏团队是智障一点没有考虑游戏平衡
辣鸡游戏	煞笔游戏，踏马的客服都没有！单排总要给我匹配车队，输了更好玩，被车队集体举报，玩个辅助还被扣分！早点倒闭算了！
垃圾游戏！	垃圾游戏！垃圾游戏！垃圾游戏！五星是为了让更多人看到！我想说这个游戏机制真是差到爆炸！差到没朋友！第一，匹配机制极差！系统会不会根据战绩，英雄来匹配队友？为什么每次匹配的队友都这么垃圾！我就不明白，玩的那么垃圾的人怎么就能上那么高的段位？第二，举报机制极差！有人全程开着语音骂人，问候你全家，举报不成功？系统你聋吗？只能看见打字的辱骂？听不见语音辱骂？送人头，演员，系统识别不出来？送一百个人头，举报不成功？举报不成功还可以写详细举报理由，就没成功过，有人看吗？没人看你设置这个功能干什么？装样子吗？游戏搞成这样还不知改进，活该卸载的人越来越多！吃鸡出来之后还没意识到威胁吗？继续这样下去，大家会都卸载的，再也没人玩的！垃圾！垃圾！垃圾！
天天被举报	队友都是撒币打个辅助死几次就被骂举报成功我服了举报只看数据你打个辅助你的数据一定是最低的最费的有没有能知道我的感受
菜鸡	浪费时间，全是些辣鸡，星耀局打得跟白银局一样，游戏体验感，极差
一个坑	下载不了还卡下载不动的
什么时候出自走棋啊	如题
游戏体验感极差	垃圾游戏，匹配的什么玩意儿。只要连赢就必定连输。什么队友都有。想赢必须五排。卸游戏！！！
辣鸡游戏	这游戏就是个垃圾。
匹配坑太多。	挂机超两次就应该 冷冻。十连跪常常出现。现在下载还下载不了了呢？为什么 为什么
辣鸡游戏毁我青春	人生第一个app差评给了你 再见??
垃圾	垃圾游戏
想要当马化腾的亲爹吗？	充钱就是马化腾的亲爹，送人头，演都没关系，腾讯哪会为难马化腾的亲爹啊，舔你脚趾头都来不及呢！当然重点是充钱。要钱不要脸的马化腾。
垃圾王者	垃圾游戏垃圾客服
小学狗荣耀	一星都嫌多，智障游戏，一群小学狗。
王者荣耀就是个坑	刚开始游戏体验还可以，越往上打越不行，铭文皮肤匹配的队友，比狗还狗，从来没黑过任何APP，但是，王者，去你的吧！！再见！！！什么玩意儿这是
辣鸡游戏	确实是辣鸡，嚷嚷着公平竞技，实际上后台全是套路，什么关键时候460，什么每逢连胜必要连跪……辣鸡游戏，充钱就能赢
空间	空间越来越大 说好2.5G的下完变5G
游戏越来越垃圾	闪退 问题一直没解决 发点福利 有什么意义？
总有一天会被这个游戏给气死	我现在每天只能上一个小时的号，原因是必须让我人脸识别认证。每次一点开，跳转到QQ界面就说需要升级。我的平板QQ是最新版怎么升级到手机系统的最新版？？？联系客服根本不管用，所有的都是人工智能在回答。就算联系了人工客服，也没法自己叙述问题，只能选项？？你们后台客服都是干什么吃的？一个人工也没有么？
坑太多，太多	所以我也认真坑别人，结果真的没什么，好好打几把继续坑
垃圾游戏，体验感极差，不如去打LOL	只要是腾讯出品的垃圾游戏，充钱才是第一位的，不充钱就给你匹配各种不好的队友。所谓的举报系统就是个摆设，各种演员、骂人的、没素质的，全都举报不了。这个游戏配不上有最基本文化素质的人
垃圾	垃圾游戏，仿LOL就不说了，举报功能偏向充钱玩家，玩？
滚出游戏界吧，就是个辣鸡	要么抢射手要么抢法师打野，现在这游戏还有玩的必要吗？心永远放在出皮肤坑钱上，什么时候想过游戏环境问题？
祸国殃民的游戏	腾讯出品，必属垃圾
垃圾游戏	什么破游戏，下载一半下载不了了
这游戏玩的人越来越少不是没道理	苹果6没修复继续闪退。。。游戏配置越来越高咯 游戏体验感贼差 举报机制有待加强
闪退	nmd老子打团给老子闪退老子干啥你给我闪退啥nmb
游戏什么样的人都能匹配的到	一把钻石排位匹配到黄金一样的人，不打游戏坑垃鸡游戏，以后不用钱的东西现在什么都要钱，玩这个游戏有什么意思？有些要钱也没有关系但是一些小小的东西也要钱，不好的东西也得充钱
app做得越来越大了	下载都下不完，到底是有多大啊？
虽然玩王者的人越来越少了，但是我依然支持王者，	那些为王者吐槽的人们死了活该。我坚持王者荣耀。
掉星	我说我不打排位，怎么就掉星了呢，不打排位还让人掉星，这是什么游戏制度
王者荣耀	你知道我为啥给三星吗？还有两星是天美王者荣耀空间太大
天美策划死妈	老子冲的钱给天美策划狗妈买棺材板。游戏做不好，一味圈钱，迟早倒闭。等着看
排位机制太垃圾了	对面动不动就选几个射手或者法师就重开，选了半天人最后告诉你给你20个积分让你理解，我理解啥，时间很多陪你们玩吗，犯错成本太低了吧
为什么苹果安卓不可以一起玩	为什么苹果安卓不可以一起玩
辣鸡游戏	辣鸡的举报系统。不能优化一下。一场游戏角色真正的作用不是靠人头来决定。真是恶心
客服无脑	平白无故扣信誉积分
半星都不想给	什么垃圾游戏 画面卡的跟照片一样 画面在动 就是人物动不了 收这么多钱就不知道优化一下么？卡成这样被人举报成功了 垃圾游戏！
一般	没意思
垃圾游戏	每次打排位不是队友挂机 就是对友战绩全是负的
太卡了	玩王者荣耀有四年多了，但是不知道是不是手机的原因，一开始玩不卡，一拿人头以后就开始卡了。弄的我也是没法了，索性我还是卸掉你吧！再见了，陪伴我四年的王者荣耀
不可太投入	王者荣耀这个游戏玩起来很容易让人沉迷，一但沉迷于游戏，你的时间就真的毁了。玩游戏本是为了开心，输赢与段位真的不重要。把自己的心态放好，控制好时间，不要把所有的时间都投在游戏中，如果你不是职业选手与知名主播真的没有必要全部投入。
我要出去买衣服的钱我	马哥，您的王者真好玩，我求求你不要让那些傻比玩王者，我连输15把，我退游了一个贵七一个贵六，真的我求你了
劲匹配神坑，客服还美其名你不介意带带新玩家	这他妈是带么，你一个打两个后排灭掉。对面一个就单挑他们四个
游戏挤号就退了？	我玩着自己的号，朋友登我号玩，我就被挤了？扣10分。牛逼牛逼。策划牛逼
垃圾游戏	垃圾游戏，匹配机制这么坑，冲钱了也没用，垃圾游戏
460延时垃圾腾讯游戏	460延时游戏，笑死人了.无论什么网络，情况一样.控制胜率，连接网络都不稳定，学人做游戏.想要什么英雄厉害后台调数据，控制胜率没下限，没有游戏体验可说.一个游戏输多过赢有意思吗？而且有些还是队友的原因.开发者你觉得公平吗？垃圾游戏垃圾平台垃圾队友垃圾公司.
辣鸡游戏	为了赚加速器的钱特意让游戏体验变差。真的辛苦你了！！
是不是iPhone6p都闪退哈	我的iPhone6p怎么玩一局闪退几次
更新太频繁	稍不注意，就得更新好麻烦，流量大于200又不能更新，需要打发时间的时候用不上
铭文的购买页面太恶心了	下载回来后去研究下弄个铭文页 弄了半天 哪个天才设计的 崩溃半天越弄越没心思 果断放弃 不知道其他人怎么想 我是接受不了的
废物游戏	废物几把垃圾游戏
。。。	辣鸡游戏，队友玩的无论多菜都举报不成功，只要自己稍微菜一点就被人举报，一扣分就是五分，还不如直接挂机，都是被扣分，玩不玩有什么区别？每局匹配都有挂机跟演员，不知道是我的号有毒，还是天美有毒？总之删了，影响心情，人民币玩家与平民玩家根本没有区别，体验感太差。。。
!!!	好
这游戏就是个坑！	"强烈建议：能不能改一下排位的规则？这几天打的肝火旺盛！星耀段位的排位赛，队友神坑的用熟练度位绿色的英雄，还名字：不随我意就坑。请问这样的都是什么玩家？游戏都是什么心态？他要打野，我就帮抢打野露娜给他，结果是一个绿色熟练度的英雄，整场下来，3个人头，送了9个，这怎么玩？要么就直接挂机，气的游戏直接卸载！强烈建议：1、英雄熟练度达不到满级的禁止在钻石以上排位局使用；2、阵型英雄选择，严格按照上、中、下、辅助、打野，每个类型的英雄只能选一个，避免一局出现两个射手或者法师、辅助之类的局面，这样会让游戏失去了兴趣！3、举报建议增加图片证据，以确保举报的真实性和准确性！4、严厉打击代练：游戏中途随时验证用户信息：实名制包含的信息、微信或者QQ的号码；5、对于演员、恶意挂机、神坑队友、言语辱骂等行为加强惩罚力度，还玩家一个干净清爽的游戏环境和游戏体验等！望腾讯、天美、马化腾先生能合理考虑一下以上建议！
大家顶起！让开发者看到！"
弃游戏	我放弃这个游戏了。
垃圾游戏	垃圾游戏！投诉都不让人投诉！
活该玩的人越来越少	我选五星是为了博关注，不知道从什么时候开始每局都会闪退，每局都被举报星耀局排位想玩都玩不了，别和我说机型有问题。之前都好的很就没次瞎更新，而且我反馈n次了。没有一点回复一点修改。心累。每次关键时刻闪退然后被队友骂和举报
匹配机制真垃圾。青铜打王者 打你??呢	"奶奶的 你这个匹配机制有问题吧 是不是没充钱你就让我这边匹上青铜打对面5个王者啊。真垃圾 
 ."
呕	口区口区口区口区口区口区我吐了 垃圾游戏 恶心人
优化一塌糊涂	iphone6就没优化了嘛，老是闪退几个意思？优化简直垃圾的一塌糊涂
hao极了	我他喵得只要晋级就碰到挂机或0杠几的人 我他喵都总结出规律了：晋级赛-输一局-再输一局（勇者积分抵消）-晋级赛-………………（死循环）我都无语了??
为什么每次都能遇到挂机？给我解释解释？	如果可以，一星都不想给。挂机的人太多，赠送礼品安慰有毛用？不要求把把赢，只要求坑比没这么多，真鄙视挂机和送人头，网络差还要玩游戏的人了，专门祸祸别人，良心不会痛吗？
匹配机制	体验感越来越差，只玩凯瑞一局下局必定匹配到特别坑的队友，或者是晋级赛一定匹配到特别坑货的，这个匹配机制应该人性化一点，最起码匹配到胜率差不多的玩家一起，还有要强力打击演员，筛选下英雄胜率，局数在15场，胜率低于30的全部警告，演员太恶心，卸载游戏不玩了，再见，个人建议。
排位输了	排位输了，差评
垃圾游戏	除了充钱让你赢 其他的慢想都别想  盗版始终是盗版
不明白那些打着五星好评吐槽王者的智商都送给腾讯了吧？你吐槽就吐槽呗，还特么整个五星几个意思。？！	不明白那些打着五星好评吐槽王者的智商都送给腾讯了吧？你吐槽就吐槽呗，还特么整个五星几个意思。？！
闪退	进去就闪退，充那么多钱突然不让我玩，搞什么呢？垃圾游戏
卡 闪退	一直用平板玩游戏 虽然是mini2 但也不能这么看不起啊 一个游戏进场就卡三十几秒才能进去 时不时还闪退 结束出来也卡三十几秒 根本不敢玩排位  醉了 能不能救一救 不然真的没法玩 只能弃了。。。。
一星都不想给垃圾	垃圾游戏，
游戏游玩差	苹果x玩游戏左手行走杆按着，右手技能键按不动，转都转不动，目前手机撕过膜，换过机，还是这种问题，顺便说下和平精英也有这种问题
匹配系统还做的不够好，继续加油吧！	匹配系统可以像英雄联盟那样就可以了，自己可以挑一个想玩的位置然后一个替补的位置，这样进行匹配到的队友就不会乱七八糟
辣鸡	什么都改了！现在不充钱几乎都玩不下去！卡钻石两个赛季了！连胜之后就是连败！
坑！坑！坑！	冲个星耀连续掉两个小段位，怎么打？辅助、上单、打野、法师、射手全试过了，基本都是败方MVP，不是也没坑过，但是还是连败，服了！
游戏是让人打发时间的不是让人受气的，还有就是队友游戏一开始就挂机扣星就算了还扣战斗力	这游戏信誉积分有很大的问题我天天被人扣举报别人不扣分，我难得坑别人一次就扣分，我只要评分第五名就会被扣分，而且问客服什么都不知道，根本就是敷衍了事冲钱多的就扣分少，游戏是让人打发时间的不是让人受气的，还有就是队友游戏一开始就挂机扣星就算了还扣战斗力
ois系统不停的闪退，系统漏洞怎么投诉？	ois系统不停的闪退，系统漏洞怎么投诉？从新下载了还是那样
垃圾游戏坑人的匹配挂机队友差评	玩了都要去举报
狗天美	后天美充了钱到v8还给老子连跪50吧！还封号艹泥马
非常差的游戏体验	每次匹配到的不是演员（我怀疑是人机队友）就是挂机的，再就是从不看地图的瞎子，想吐槽的地方太多，而且举报无效！
垃圾游戏	体验极差
退游感言	其实我不是突发奇想的想退游，我在这游戏也花了一万块钱左右，我不想吐槽别的，因为我觉得不论英雄设定还是皮肤，天美都在更努力的去做，但是我退游的真正原因是匹配机制和举报系统！这两个地方真的是给很多玩家带来了困扰，我就是其中一个！就在刚才我打了一把，其中安琪拉因为自己去上厕所，然后位置被抢了所以塔下躺尸，还冷嘲热讽说不注重队友的重要性，可是这样的他也破坏了其他三个人的体验呀，不知道为什么……每次排位连胜后就会遇到这样的队友，他们不是技术不行，而是因为他们对待游戏的态度不行！而这样的人在游戏里充当演员后往往还能得到MVP，这真的很心寒……王者是一款团队游戏，而且是节奏比较快的那种游戏，我不擅长社交，没有固定队友，所以几乎都是单排，尽管你技术再好，但是只要有一个队友消极比赛，那游戏百分之99都输，虽然8赛季才开始玩，但是也算半个老玩家了……真的深有体会，一个团队游戏中玩家对待游戏和对待队友的态度真的非常重要！我很喜欢这款游戏，但是我还是要说再见！今天那个安琪拉是演员也是MVP，那MVP三个字母在他旁边真的非常的刺眼，就好像你被QJ了别人还骂你活该去招惹人家一样，我举报了，不知道能不能举报成功……但是我希望以后天美能够在这方面好好做出一些改变，比如对坐实有演员这种行为的玩家可以进行标注……过一段时间才能取消，标注玩家在进行游戏匹配时只能匹配到标注玩家，还有希望能够做到举报时可以选择上传照片或者视频举报……
删游戏了	游戏体验极差连跪二十把还有谁。王者二十星掉到星耀真的是服了垃圾游戏
这个游戏已经没法玩了，果断卸载	我就想问问天美这游戏你们出的还有意思吗？动不动就闪退，一打排位不是送人头就是对骂的，举报也不扣分，遇到挂机的举报有什么用，我掉的是星，举报他才扣几分关什么用，一点公平性都没有还玩个毛线。
王者荣耀5.27G，我只能删游戏了	玩王者荣耀好多个赛季了，确实这个手游做的很不错，身边很多朋友都在玩，自己也是个30几岁的人了，孩子他爸了，但是平时还是玩的很嗨，最近更新游戏后发现手机内存不够了，玩不了了，总不能为了玩游戏再花5、6千换手机吧，没有办法卸载了游戏，不明白弄那么多的模式有什么意义，主要还是匹配和排位赛，也不知道游戏商怎么想的，希望你们能做些实质性的改动，排位机制，内存大小，460，等等，把这些问题多想想，运营游戏挣钱我从来不反对，本人也花钱买了很多皮肤，这是我的个人看法，望游戏运营团队能看到
腊鸡！游戏	匹配机制和举报机制更是辣鸡中的战斗机！3000场次的英雄永远匹配的都是一两百场人！你这匹配机制就不能按数据来匹配和段位来分配队友吗？
呵呵	我只能说，这游戏太大了
明明自己打得不坑	偏偏匹配一些神坑队友给你，不是大神打不动单排了？
排位	辣鸡
举报系统	难道“滚”字不算骂人？竟然举报不成功？
让这个游戏能不能有个玩家审核标准？	什么样的东西都能玩？
就是一垃圾游戏，永远控制胜率在50%左右，就是来来回回耍着玩家玩，根本不是自己能控制的了的	就是一垃圾游戏，永远控制胜率在50%左右，就是来来回回耍着玩家玩，根本不是自己能控制的了的
死全家的游戏策划。超强的胜率控制。460控制，把把如此，次次赛季如此。	控制胜率，瞎几把匹配，祝你早倒闭，全家死光光，什么对战，什么匹配，打个50把，轮轮这样，有意思，永恒不变的就是胜率，厉害，就是条数据，全家死光光
建议	建议王者荣耀出一个考试，智商，技术，策略，走位，意识等等方面都合格了再让他参加排位，送上8个人头直接让他强制退出.并且补偿我方经济装备，一天天遇到些坑人的队友，这不是害人吗？
心灰	游戏就只有一直输一直输 天美匹配什么队友来的？
一款老游戏了，很不容易。	"王者很老了，我初二的时候接触到的游戏，一晃四年过去，如今我已是准大学生了。不得不说，从最开始的狂热到后来的平静，从火冒三丈的谩骂到客观的审视这款游戏，王者带给我的，远不止游戏本身。
    回想自己的王者之路，候车厅、饭馆、旅店、学校……一个个都是自己走过的脚印。有人说，这款游戏很吃钱；也有人说，这款游戏硬核不好，卡顿闪退占内存，还有……不过，没关系了，再多的这类评价与非议，也无法掩饰这款游戏的强大。迄今为止，能与王者这样的游戏比肩而行的，还有谁呢？王者是孤独的，即使气数将歇也是如此。看得出，最新评论里大多都是一星，很多玩家已经开始退游了，这款游戏也在渐渐的走下坡路。
    也许，几年以后，这款游戏就会正式下架了吧。就像Q宠是九零后的回忆一样，他已经成为我记忆的一部分，不会随时间的流逝而褪色的。从某种意义上来说，他的生命得到了延续。
  在此，不评游戏，只是想向这款老游戏的工作人员敬礼，这么多年顶住非议，为上万玩家服务，真的很不容易。"
举报评价系统很稀烂	举报评价系统根本没有原则可言。
系统不稳定	玩儿游戏老是卡住不动，不团就不卡，一团直接卡炸，很烦啊，而且闪退什么的也很烦啊，能不能改善一下，老玩家了，很烦烦烦烦
坑货多	这个赛季坑货太多了，没法打，挂机的特别多，希望挂机的能不打排位
辣鸡游戏毁我青春	自认为水平也没有差到不行，只要打野的能把节奏带上去，我就能打的很好，一般情况下都是单排，很不容易的上到钻石，然后从钻三满星掉到铂金，把把匹配到的队友不是演员就是挂机，怎么玩？游戏有赢有输很正常，但是赢得都没输得多，怎么玩？你以为人人都是大神吗，分分钟上王者？但是起码别十把有九把都匹配到那些神仙队友吧，卸载了很多次，突然想下载回来玩然后看到评论想到自己那个时候打的这么心累，就停止下载了，真的，天美，您可长点心吧。
差评差评	真是气死了，每次举报那些送人头的都不成功，真是要被气死。是人是鬼都可以打排位。
垃圾游戏 垃圾机制  垃圾活动 套路钱的工具	太斤斤计较的人太容易满足半条心间有你这样对我们的好习惯！我不敢想见她在乎的人都不喜欢
破游戏	垃圾游戏玩的恼火。
毫无意义	打这个王者   女朋友走了    朋友没了   钱也被他赚了    除了得一身坏脾气   什么都没有    要想生活过得好，抵制王者大家搞
垃圾游戏	队友骂人不配合扣我的分，卸载你没道理的，垃圾游戏，毁我青春败我钱财，毒害青少年，影响时代进步，阻碍青少年健康成长，商人损人利己
对于攻击目标的识别很差！	有时要攻击残血，却跑去攻击野怪！这方面的缺陷要改一下！
更新	更新完不显示全屏了？
异常	闪退两次卡顿
无法忍受各种卡，各种挂机，终于卸载了	一年多的体验，也算是忠诚用户了，最后被体验压垮了，每一次的更新都是卡的要死，每一局都有挂机的，受不了这么垃圾的体验，忍痛卸载了。
闪退	界面断触，一直不优化
我对王者的评价	小学生太多，不懂得配合，假最强王者太多，有一些喜欢做演员的召唤师
王者荣耀关羽的冰封战神	冰封战神皮肤是888点券的什么时候出一次皮肤
垃圾游戏果断御载……	垃圾游戏、垃圾游戏、垃圾游戏……充钱给狗天美了
早日倒闭	曾经上过榜一，也拿过几个国服，到最后会玩的都削了无脑的拼命加强，网速没有问题也经常460，还有最垃圾的是举报系统。
t	这个游戏真他妈勒塞，他们赢了一局，输了一天。
坑货多	老是动不动就更新就算了坑货还多，而且不是一般的坑，故意挂人机的，送人头的，钻石排位还禁你要玩的英雄，自己坑了还怪你不会玩，说实话玩挺多年了，最近那些人坑的严重了举报都没用
机制	你们的匹配机制是真的垃圾，没人了吗是不是要倒闭了，什么几把玩意，每次匹配到的什么神仙队友，垃圾的要死，还没进游戏，麻麻咧咧的就进去了，全程各种讽刺，自己一个人没杀还叽叽歪歪的，还有全程不参与团战的，我怀疑是不是你们找的人机队友。总之非常不满意，一直掉段位，有本事你直接给我掉青铜去啊，我天天虐那些新手，垃圾
天美，该吃药了！	"“心情不好的时候有什么方法可以让你改善心情呢”
“打王者荣耀啊”
“你的意思是通过游戏可以让心情变好吗？”
“不是，等打完之后就会发现其实你刚才心情挺好的”"
垃圾游戏	是不是我没充钱，每次排位打到一半都是460，直到水晶爆了才不卡，有点体验都没有，垃圾游戏
破实名认证 人脸识别	什么鬼东西 经常还得实名认证 人脸识别 自从更新后 识别N次了 认证成功了 又认证 一天起来没完没了了是吗？ 还总识别错误 能不能行了？天天还耽误玩游戏呢 总是得识别 识别错误了 还强制下线 闪退 垃圾垃圾垃圾！！！！！
mini系列玩王者视野太窄，比19:9小太多，还不能调节分辨率，只有相机高度，见到对手基本就能突到自己了，体验很差！	视野窄不舒服
心态打崩决定代练	连输六局 非常奇怪 平时怎么不会遇见这么多挂机的？一到晋级赛就来 不是黑幕是什么？有种给我个解释
坑人的游戏	这个游戏太坑人了 特别是对小孩子的影响很大。建议大家别玩了
都是成年人	老禁什么赛？
